DRUG PREF NAME	DRUG TRADE NAMES	DRUG CHEMBL ID	DRUG MOLECULE TYPE
['DIETHYLSTILBESTROL DIPHOSPHATE']	"['Fosfestrol', 'Stilphostrol']"	CHEMBL1200598	['Small molecule']
['TOREMIFENE CITRATE']	['Fareston']	CHEMBL1200675	['Small molecule']
['QUINESTROL']	['Estrovis']	CHEMBL1201165	['Small molecule']
"['ESTROGENS, CONJUGATED SYNTHETIC A']"	"['Cenestin', 'Synthetic conjugated estrogens a']"	CHEMBL1201466	['Small molecule']
"['ESTROGENS, ESTERIFIED']"	"['Amnestrogen', 'Esterified estrogens', 'Estratab', 'Evex', 'Femogen', 'Menest']"	CHEMBL1201468	['Small molecule']
"['SYNTHETIC CONJUGATED ESTROGENS, B']"	['Enjuvia']	CHEMBL1201467	['Small molecule']
"['ESTROGENS, CONJUGATED']"	"['Cenestin', 'Oestrogen', 'Premarin', 'Premarin Cream']"	CHEMBL1201649	['Small molecule']
['OSPEMIFENE']	"['Osphena', 'Senshio']"	CHEMBL2105395	['Small molecule']
['ALLYLESTRENOL']	['Gestanin']	CHEMBL2105618	['Small molecule']
['BAZEDOXIFENE ACETATE']	[]	CHEMBL2106615	['Small molecule']
['PROGESTERONE']	"['Crinone', 'Cyclogest', 'Endometrin', 'Gesterol', 'Lutigest', 'Milprosa', 'Prochieve', 'Progesta-care', 'Progestasert', 'Progesterone', 'Progestin', 'Prometrium', 'Regumate', 'Serenity for women', 'Syngestrone', 'Utrogestan']"	CHEMBL103	['Small molecule']
['MEDROXYPROGESTERONE ACETATE']	"['Adgyn medro', 'Amen', 'Climanor', 'Curretab', 'Cycrin', 'Depo-progevera', 'Depo-provera', 'Depo-provera oncology', 'Depo-subq provera 104', 'Farlutal', 'Farlutal 100', 'Farlutal 200', 'Farlutal 250', 'Farlutal 500', 'Lunelle', 'Medroxyprogesterone acetate', 'Provera', 'Sayana press']"	CHEMBL717	['Small molecule']
['CHLORMADINONE ACETATE']	[]	CHEMBL110691	['Small molecule']
['NORETHINDRONE']	"['Aygestin', 'Camila', 'Errin', 'Heather', 'Incassia', 'Jencycla', 'Menzol', 'Micronor', 'Micronor hrt', 'Norethidrone', 'Norethindrone', 'Noriday', 'Norlutin', 'Nor-qd', 'Primolut n', 'Utovlan']"	CHEMBL1162	['Small molecule']
['CYPROTERONE ACETATE']	"['Androcur', 'Androcur 10', 'Cyprostat', 'Diane']"	CHEMBL139835	['Small molecule']
['NORETHYNODREL']	[]	CHEMBL1387	['Small molecule']
['LEVONORGESTREL']	"['Athentia next', 'Emerres', 'Emerres una', 'Ezinelle', 'Fallback solo', 'Her style', 'Isteranda', 'Jadelle', 'Jaydess', 'Kyleena', 'Levonelle', 'Levonelle-2', 'Levonelle one step', 'Levonorgestrel', 'Levosert', 'Liletta', 'Microval', 'Mirena', 'Norgeston', 'Norplant', 'Norplant Ii', 'Norplant System', 'Opcicon one-step', 'Ovrette', 'Plan B', 'Plan b one-step', 'Postinor-2', 'Skyla', 'Upostelle']"	CHEMBL1389	['Small molecule']
['DANAZOL']	"['Danazol', 'Danocrine']"	CHEMBL1479	['Small molecule']
['DROSPIRENONE']	"['Angeliq', 'Slynd']"	CHEMBL1509	['Small molecule']
['ETONOGESTREL']	"['Implanon', 'Nexplanon']"	CHEMBL1531	['Small molecule']
['DESOGESTREL']	"['Aizea', 'Cerazette', 'Cerelle', 'Desomono', 'Feanolla', 'Nacrez', 'Zelleta']"	CHEMBL1533	['Small molecule']
['ULIPRISTAL ACETATE']	"['Ella', 'Ellaone', 'Esmya']"	CHEMBL260538	['Small molecule']
['ETHYNODIOL DIACETATE']	['Femulen']	CHEMBL1200624	['Small molecule']
['NORELGESTROMIN']	"['Evra', 'Ortho evra']"	CHEMBL1200807	['Small molecule']
['HYDROXYPROGESTERONE CAPROATE']	"['Delalutin', 'Hydroxyprogesterone caproate', 'Makena', 'Makena (autoinjector)', 'Makena preservative free', 'Proluton depot']"	CHEMBL1200848	['Small molecule']
['DYDROGESTERONE']	"['Duphaston', 'Duphaston-hrt', 'Gynorest']"	CHEMBL1200853	['Small molecule']
['NORGESTIMATE']	[]	CHEMBL1200934	['Small molecule']
['MEGESTROL ACETATE']	"['Megace', 'Megace es', 'Megestrol acetate', 'Ovaban']"	CHEMBL1201139	['Small molecule']
['NORETHINDRONE ACETATE']	"['Aygestin', 'Norethidrone Acetate', 'Norethindrone acetate', 'Norlutate']"	CHEMBL1201146	['Small molecule']
['MIFEPRISTONE']	"['Korlym', 'Mifegyne', 'Mifeprex']"	CHEMBL1276308	['Small molecule']
['ONAPRISTONE']	[]	CHEMBL1908373	['Small molecule']
['ULIPRISTAL']	[]	CHEMBL2103846	['Small molecule']
['ALLYLESTRENOL']	['Gestanin']	CHEMBL2105618	['Small molecule']
['NORGESTREL']	"['Opill', 'Ovrette']"	CHEMBL2107797	['Small molecule']
['SEGESTERONE ACETATE']	['Nestorone']	CHEMBL3707377	['Small molecule']
['RALOXIFENE HYDROCHLORIDE']	"['Evirex', 'Evista', 'Optruma', 'Ostiral', 'Raloxifene hydrochloride', 'Razylan']"	CHEMBL1116	['Small molecule']
['ESTRAMUSTINE PHOSPHATE SODIUM']	['Emcyt']	CHEMBL1200721	['Small molecule']
['CHLOROTRIANISENE']	"['Chlorotrianisene', 'Tace']"	CHEMBL1200761	['Small molecule']
['BICALUTAMIDE']	"['Bicalutamide', 'Calutide', 'Casodex', 'Cosudex', 'Kalumid']"	CHEMBL409	['Small molecule']
['FLUTAMIDE']	"['Chimax', 'Drogenil', 'Eulexin', 'Flutamide']"	CHEMBL806	['Small molecule']
['TESTOSTERONE PROPIONATE']	['Testosterone propionate']	CHEMBL1170	['Small molecule']
['CYPROTERONE ACETATE']	"['Androcur', 'Androcur 10', 'Cyprostat', 'Diane']"	CHEMBL139835	['Small molecule']
['NILUTAMIDE']	"['Anadron', 'Nilandron', 'Nilutamide']"	CHEMBL1274	['Small molecule']
['METHYLTESTOSTERONE']	"['Android 10', 'Android 25', 'Android 5', 'Metandren', 'Methitest', 'Methyltestosterone', 'Oreton', 'Oreton methyl', 'Perandren', 'Plex hormone', 'Potensan fte', 'Testovis', 'Testred', 'Virilon']"	CHEMBL1395	['Small molecule']
['TESTOSTERONE']	"['Androderm', 'Androgel', 'Androgel 1%', 'Andropatch', 'Axiron', 'Fortesta', 'Intrinsa', 'Natesto', 'Striant', 'Striant sr', 'Testim', 'Testim 1%', 'Testoderm', 'Testoderm tts', 'Testogel', 'Testopatch', 'Testopel', 'Testoral', 'Testosterone', 'Tostran', 'Vogelxo']"	CHEMBL386630	['Small molecule']
['FLUOXYMESTERONE']	"['Android-f', 'Androxy', 'Fluoxymesterone', 'Halotestin', 'Ora-testryl']"	CHEMBL1445	['Small molecule']
['DANAZOL']	"['Danazol', 'Danocrine']"	CHEMBL1479	['Small molecule']
['ABIRATERONE']	['Zytiga']	CHEMBL254328	['Small molecule']
['ENZALUTAMIDE']	['Xtandi']	CHEMBL1082407	['Small molecule']
['TESTOSTERONE ENANTHATE']	"['Delatestryl', 'Primoteston depot', 'Testosterone enanthate', 'Xyosted (autoinjector)']"	CHEMBL1200335	['Small molecule']
['NANDROLONE PHENPROPIONATE']	"['Durabolin', 'Nandrolone phenpropionate']"	CHEMBL1200412	['Small molecule']
['OXANDROLONE']	"['Anavar', 'Oxandrin', 'Oxandrolone']"	CHEMBL1200436	['Small molecule']
['OXYMETHOLONE']	"['Anadrol', 'Anadrol-50', 'Anapolon 50']"	CHEMBL1200585	['Small molecule']
['ETHYLESTRENOL']	['Maxibolin']	CHEMBL1200623	['Small molecule']
['NANDROLONE DECANOATE']	"['Deca-durabolin', 'Durabolin', 'Nandrolone decanoate']"	CHEMBL1200946	['Small molecule']
['DROMOSTANOLONE PROPIONATE']	"['Drolban', 'Masteril']"	CHEMBL1201048	['Small molecule']
['TESTOSTERONE CYPIONATE']	"['Andro-Cyp', 'Depandro', 'Depotest', 'Depo-testosterone', 'Testosterone', 'Testosterone cypionate']"	CHEMBL1201101	['Small molecule']
['METHANDROSTENOLONE']	['Dianabol']	CHEMBL1418176	['Small molecule']
['STANOZOLOL']	"['Stromba', 'Tevabolin', 'Winstrol']"	CHEMBL2079587	['Small molecule']
['TESTOSTERONE UNDECANOATE']	"['Andriol', 'Aveed', 'Jatenzo', 'Nebido', 'Restandol', 'Restandol testocap', 'Undestor']"	CHEMBL2107067	['Small molecule']
['APALUTAMIDE']	['Erleada']	CHEMBL3183409	['Small molecule']
['CLASCOTERONE']	"['Breezula', 'Winlevi']"	CHEMBL3590187	['Small molecule']
['DAROLUTAMIDE']	['Nubeqa']	CHEMBL4297185	['Small molecule']
['TRETINOIN']	"['Acticin', 'Altreno', 'Atralin', 'Avita', 'Renova', 'Retin-a', 'Retin-a micro', 'Retin-a-micro', 'Tretinoin', 'Tretin-X', 'Vesanoid']"	CHEMBL38	['Small molecule']
['ISOTRETINOIN']	"['Absorica', 'Absorica ld', 'Accutane', 'Amnesteem', 'Claravis', 'Isotrex', 'Myorisan', 'Roaccutane', 'Sotret', 'Zenatane']"	CHEMBL547	['Small molecule']
['ADAPALENE']	"['Adapalene', 'Differin']"	CHEMBL1265	['Small molecule']
['TAZAROTENE']	"['Arazlo', 'Avage', 'Fabior', 'Tazorac', 'Zorac']"	CHEMBL1657	['Small molecule']
['BEXAROTENE']	"['Bexarotene', 'Targretin', 'Targretine']"	CHEMBL1023	['Small molecule']
