	EntityA	EntityB	Effect	Mechanism
3753	ETS2	SPP1	up-regulates quantity by expression	transcriptional regulation
13484	ETS2	BGLAP	up-regulates quantity by expression	transcriptional regulation
13487	ETS2	SPARC	up-regulates quantity by expression	transcriptional regulation
13488	ETV2	SPI1	up-regulates quantity by expression	transcriptional activation
3755	ETV2	FLI1	up-regulates quantity by expression	transcriptional regulation
6012	ETV3	ETV3	down-regulates quantity by repression	transcriptional regulation
6015	ETV3	DUSP6	down-regulates quantity by repression	transcriptional regulation
6014	ETV3	DDX20	down-regulates quantity by repression	transcriptional regulation
13489	ETV4	VIM	up-regulates quantity by expression	transcriptional regulation
3756	ETV4	POU5F1	up-regulates quantity by expression	transcriptional regulation
13491	ETV6	CDKN1A	up-regulates quantity by expression	transcriptional regulation
13490	ETV6	BBC3	up-regulates quantity by expression	transcriptional regulation
13493	ETV6	HBA1	up-regulates quantity by expression	transcriptional regulation
13494	ETV6	HBB	up-regulates quantity by expression	transcriptional regulation
13496	EVX1	GSC	down-regulates quantity by repression	transcriptional regulation
14875	FEV	ICAM1	down-regulates quantity by repression	transcriptional regulation
15060	FLI1	GP9	up-regulates quantity by expression	transcriptional regulation
15061	FLI1	HOXA10	down-regulates quantity by repression	transcriptional regulation
15057	FLI1	ERG	up-regulates quantity by expression	transcriptional regulation
15064	FLI1	MPL	up-regulates quantity by expression	transcriptional regulation
15056	FLI1	COL1A2	down-regulates quantity by repression	transcriptional regulation
15059	FLI1	GP6	up-regulates quantity by expression	transcriptional regulation
3814	FLI1	IL10	up-regulates	transcriptional regulation
15162	FOS	CYP19A1	up-regulates quantity by expression	transcriptional regulation
15163	FOS	HSD3B2	up-regulates quantity by expression	transcriptional regulation
15165	FOS	STAR	up-regulates quantity by expression	transcriptional regulation
15157	FOSL2	FOSL1	up-regulates quantity by expression	transcriptional regulation
15168	FOXA1	AR	down-regulates quantity by repression	transcriptional regulation
15170	FOXA1	CDKN1B	up-regulates quantity by expression	transcriptional regulation
15172	FOXA1	HSPA1A	up-regulates quantity by expression	transcriptional regulation
15169	FOXA1	BCL2	down-regulates quantity by repression	transcriptional regulation
15174	FOXA1	KRT7	up-regulates quantity by expression	transcriptional regulation
15177	FOXA1	SFTPB	up-regulates quantity by expression	transcriptional regulation
15173	FOXA1	HSPA1B	up-regulates quantity by expression	transcriptional regulation
15175	FOXA1	LOXL2	up-regulates quantity by expression	transcriptional regulation
15179	FOXA2	DLK1	up-regulates quantity by expression	transcriptional regulation
15182	FOXD2	PRKAR1A	up-regulates quantity by expression	transcriptional regulation
15183	FOXE1	MSX1	up-regulates quantity by expression	transcriptional regulation
15184	FOXE1	TGFB3	up-regulates quantity by expression	transcriptional regulation
15185	FOXF1	GH2	up-regulates quantity by expression	transcriptional regulation
15188	FOXI1	CFTR	up-regulates quantity by expression	transcriptional regulation
15189	FOXJ3	MEF2C	up-regulates quantity by expression	transcriptional regulation
15194	FOXL2	SIRT1	up-regulates quantity by expression	transcriptional regulation
15193	FOXL2	CYP19A1	down-regulates quantity by repression	transcriptional regulation
15192	FOXL2	CYP11A1	down-regulates quantity by repression	transcriptional regulation
15195	FOXL2	STAR	down-regulates quantity by repression	transcriptional regulation
15190	FOXL2	CCND2	down-regulates quantity by repression	transcriptional regulation
15197	FOXN1	DSG4	down-regulates quantity by repression	transcriptional regulation
15198	FOXN3	PIM2	down-regulates quantity by repression	transcriptional regulation
15199	FOXN4	PTF1A	up-regulates quantity by expression	transcriptional regulation
3827	FOXO1	SMURF1	up-regulates quantity	transcriptional regulation
15224	FOXO1	TRIM63	up-regulates quantity by expression	transcriptional regulation
15221	FOXO1	PPARG	down-regulates quantity by repression	transcriptional regulation
15203	FOXO1	BCL2L11	up-regulates quantity by expression	transcriptional regulation
15218	FOXO1	PCK1	up-regulates quantity by expression	transcriptional regulation
15216	FOXO1	IGFBP1	up-regulates quantity by expression	transcriptional regulation
15215	FOXO1	IDH1	up-regulates quantity by expression	transcriptional regulation
15212	FOXO1	G6PC	up-regulates quantity by expression	transcriptional regulation
15213	FOXO1	GK	down-regulates quantity by repression	transcriptional regulation
15205	FOXO1	CDKN2D	up-regulates quantity by expression	transcriptional regulation
15208	FOXO1	FSHB	down-regulates quantity by repression	transcriptional regulation
15207	FOXO1	FBXO32	up-regulates quantity by expression	transcriptional regulation
15204	FOXO1	CDKN2B	up-regulates quantity by expression	transcriptional regulation
15226	FOXO3	BCL2L11	down-regulates quantity	transcriptional repression
3828	FOXO3	NOTCH3	down-regulates quantity	transcriptional regulation
3829	FOXO3	STK11	down-regulates quantity	transcriptional regulation
15246	FOXO3	NOTCH	down-regulates quantity	transcriptional regulation
15247	FOXO3	RBL2	up-regulates quantity	transcriptional regulation
15248	FOXO3	TRIM63	up-regulates quantity by expression	transcriptional regulation
15249	FOXO3	TSC1	up-regulates quantity	transcriptional regulation
15250	FOXO3	TSC22D3	up-regulates activity	transcriptional regulation
15251	FOXO3	TSC22D3	up-regulates quantity by expression	transcriptional regulation
15245	FOXO3	NOTCH1	down-regulates quantity	transcriptional regulation
15244	FOXO3	MYOD1	up-regulates quantity by expression	transcriptional regulation
15242	FOXO3	MIR1-1	up-regulates quantity	transcriptional regulation
15227	FOXO3	BCL2L11	up-regulates quantity by expression	transcriptional regulation
15229	FOXO3	CDKN1B	up-regulates quantity	transcriptional regulation
15232	FOXO3	CITED2	up-regulates quantity by expression	transcriptional regulation
15233	FOXO3	DIO2	up-regulates quantity	transcriptional activation
15234	FOXO3	FASLG	up-regulates quantity by expression	transcriptional regulation
15228	FOXO3	CDKN1B	down-regulates quantity	transcriptional repression
15236	FOXO3	FBXO32	up-regulates quantity by expression	transcriptional regulation
15238	FOXO3	FOXO3	up-regulates quantity	transcriptional regulation
15239	FOXO3	GALT	up-regulates quantity by expression	transcriptional regulation
15240	FOXO3	IDH1	up-regulates quantity by expression	transcriptional regulation
15252	FOXO4	FBXO32	up-regulates quantity by expression	transcriptional regulation
15255	FOXO4	TRIM63	up-regulates quantity by expression	transcriptional regulation
15254	FOXO4	IDH1	up-regulates quantity by expression	transcriptional regulation
15256	FOXO6	FBXO32	up-regulates quantity by expression	transcriptional regulation
15257	FOXO6	IDH1	up-regulates quantity by expression	transcriptional regulation
15259	FOXO6	TRIM63	up-regulates quantity by expression	transcriptional regulation
15290	FOXP1	KLK3	down-regulates quantity by repression	transcriptional regulation
15289	FOXP1	HIP1R	down-regulates quantity by repression	transcriptional regulation
15292	FOXP3	IL10	up-regulates quantity by expression	transcriptional regulation
15294	FOXQ1	MYLK	down-regulates quantity by repression	transcriptional regulation
15295	FOXS1	FOXO3	down-regulates quantity by repression	transcriptional regulation
15296	FOXS1	FOXO4	down-regulates quantity by repression	transcriptional regulation
11614	FOXS1	FASLG	down-regulates quantity by repression	transcriptional regulation
15512	GATA1	HOXA10	down-regulates quantity by repression	transcriptional regulation
15497	GATA1	CEBPA	down-regulates quantity by repression	transcriptional regulation
15521	GATA1	ZNF268	down-regulates quantity by repression	transcriptional regulation
15496	GATA1	AGGF1	up-regulates quantity by expression	transcriptional regulation
15519	GATA1	SPTA1	up-regulates quantity by expression	transcriptional regulation
15516	GATA1	NBEAL2	up-regulates quantity by expression	transcriptional regulation
15515	GATA1	KLF1	up-regulates quantity by expression	transcriptional activation
15513	GATA1	ITGA2B	up-regulates quantity by expression	transcriptional regulation
15511	GATA1	HBG2	down-regulates quantity by repression	transcriptional regulation
15510	GATA1	HBG1	down-regulates quantity by repression	transcriptional regulation
15509	GATA1	GP9	up-regulates quantity by expression	transcriptional regulation
15508	GATA1	GP6	up-regulates quantity by expression	transcriptional regulation
15520	GATA1	TAL1	up-regulates quantity by expression	transcriptional activation
15505	GATA1	GFI1B	up-regulates quantity by expression	transcriptional regulation
15506	GATA1	GP1BA	up-regulates quantity by expression	transcriptional regulation
3871	GATA1	RUNX1T1	up-regulates quantity by expression	transcriptional regulation
3870	GATA1	MPL	up-regulates quantity by expression	transcriptional regulation
3868	GATA1	CBFB	down-regulates quantity by repression	transcriptional regulation
15498	GATA1	CYBB	up-regulates quantity	transcriptional regulation
15514	GATA1	KIT	down-regulates quantity by repression	transcriptional repression
15500	GATA1	FCER1A	up-regulates quantity by expression	transcriptional regulation
15501	GATA1	FLI1	up-regulates quantity by expression	transcriptional activation
15502	GATA1	GATA1	up-regulates quantity by expression	transcriptional activation
15503	GATA1	GATA2	down-regulates quantity by repression	transcriptional regulation
15504	GATA1	GATA2	down-regulates quantity by repression	transcriptional repression
3872	GATA2	SPI1	up-regulates quantity by expression	transcriptional activation
15532	GATA2	PPARG	down-regulates quantity	transcriptional regulation
15526	GATA2	GATA1	up-regulates quantity by expression	transcriptional activation
15527	GATA2	GATA2	up-regulates quantity by expression	transcriptional activation
15528	GATA2	KLF1	up-regulates quantity by expression	transcriptional activation
15523	GATA2	CYBB	down-regulates quantity	transcriptional regulation
15534	GATA3	CD8A	up-regulates quantity by expression	transcriptional regulation
15537	GATA3	ERG	up-regulates quantity by expression	transcriptional regulation
15541	GATA3	IL4	up-regulates quantity by expression	transcriptional regulation
15542	GATA3	PPARG	down-regulates quantity by repression	transcriptional regulation
15543	GATA3	PPARG	down-regulates	transcriptional regulation
15538	GATA3	FOXC2	down-regulates quantity by repression	transcriptional regulation
15546	GATA4	HAMP	up-regulates quantity by expression	transcriptional regulation
15548	GATA6	CYP11A1	up-regulates quantity by expression	transcriptional regulation
15549	GATA6	CYP17A1	up-regulates quantity by expression	transcriptional regulation
15551	GATA6	PLXNA2	up-regulates quantity by expression	transcriptional regulation
3874	GATA6	SEMA3C	up-regulates quantity by expression	transcriptional regulation
15564	GCM2	CASR	up-regulates quantity by expression	transcriptional regulation
15565	GCM2	PTH	up-regulates quantity by expression	transcriptional regulation
3886	GFI1	BAX	down-regulates quantity by repression	transcriptional regulation
15614	GFI1	EGR2	down-regulates quantity by repression	transcriptional repression
3887	GFI1	CYP27B1	down-regulates quantity by repression	transcriptional regulation
3885	GFI1B	MEF2C	up-regulates quantity by expression	transcriptional regulation
15648	GLI1	CCND1	up-regulates quantity by expression	transcriptional regulation
15653	GLI1	PTCH1	up-regulates quantity by expression	transcriptional regulation
15652	GLI1	MYCN	up-regulates quantity by expression	transcriptional regulation
15651	GLI1	HHIP	up-regulates quantity by expression	transcriptional regulation
15650	GLI1	GLI1	up-regulates quantity by expression	transcriptional regulation
15660	GLI2	PTCH1	up-regulates quantity by expression	transcriptional regulation
3895	GLI2	HHIP	up-regulates quantity by expression	transcriptional regulation
15655	GLI2	BMP2	up-regulates quantity by expression	transcriptional regulation
15656	GLI2	FOXF1	up-regulates quantity by expression	transcriptional regulation
15657	GLI2	GLI1	up-regulates quantity by expression	transcriptional regulation
15658	GLI2	IFITM5	up-regulates quantity by expression	transcriptional regulation
15661	GLI3	CCND1	up-regulates quantity by expression	transcriptional regulation
15663	GLI3	GLI1	down-regulates quantity by repression	transcriptional regulation
15669	GLI3	PTCH1	up-regulates quantity by expression	transcriptional regulation
15666	GLI3	MYCN	down-regulates quantity by repression	transcriptional regulation
15841	GRHL2	ZEB1	down-regulates quantity by repression	transcriptional regulation
15923	GSC	EPHA7	down-regulates quantity by repression	transcriptional regulation
15924	GSC	EVX1	down-regulates quantity by repression	transcriptional regulation
16186	GTF2I	HSPA5	up-regulates quantity by expression	transcriptional regulation
16256	HBP1	NCF1	down-regulates quantity by repression	transcriptional regulation
16364	HES1	NOC3L	down-regulates quantity	transcriptional regulation
16369	HES1	PTGDS	down-regulates quantity by repression	transcriptional regulation
16368	HES1	PPARG	down-regulates quantity by repression	transcriptional regulation
16366	HES1	NR3C1	down-regulates quantity by repression	transcriptional regulation
16372	HES1	RCAN1	down-regulates quantity by repression	transcriptional regulation
16357	HES1	ASCL1	down-regulates quantity by repression	transcriptional regulation
16358	HES1	CTNND2	down-regulates quantity by repression	transcriptional regulation
16359	HES1	DTX1	down-regulates quantity by repression	transcriptional regulation
16360	HES1	E2F1	down-regulates quantity by repression	transcriptional regulation
16361	HES1	FLT3	down-regulates quantity by repression	transcriptional regulation
16362	HES1	MYOD1	down-regulates activity	transcriptional regulation
16363	HES1	MYOD1	down-regulates quantity by repression	transcriptional regulation
16373	HES6	E2F1	up-regulates quantity by expression	transcriptional regulation
16381	HEY1	MYOG	down-regulates quantity by repression	transcriptional regulation
16380	HEY1	MEF2C	down-regulates quantity by repression	transcriptional regulation
14323	HIC1	MYC	down-regulates activity	transcriptional regulation
16395	HIC1	VLDLR	down-regulates quantity by repression	transcriptional regulation
16392	HIC1	SIRT1	down-regulates quantity by repression	transcriptional regulation
16391	HIC1	LRP8	down-regulates quantity by repression	transcriptional regulation
4012	HIC1	E2F1	down-regulates quantity by repression	transcriptional regulation
4013	HIC1	EFNA1	down-regulates quantity by repression	transcriptional regulation
16390	HIC1	EPHA2	down-regulates quantity by repression	transcriptional regulation
4011	HIC1	ACKR3	down-regulates quantity by repression	transcriptional regulation
16394	HIC1	VEGFA	down-regulates quantity by repression	transcriptional regulation
16399	HIF1A	ABCB1	up-regulates quantity by expression	transcriptional regulation
16402	HIF1A	CCL2	up-regulates quantity by expression	transcriptional regulation
16400	HIF1A	ALAS2	up-regulates quantity by expression	transcriptional regulation
16401	HIF1A	ALDOA	up-regulates quantity by expression	transcriptional regulation
4015	HIF1A	EPO	up-regulates quantity by expression	transcriptional regulation
4016	HIF1A	EPO	up-regulates quantity	transcriptional regulation
4017	HIF1A	FAM162A	up-regulates quantity by expression	transcriptional regulation
16406	HIF1A	IL1B	up-regulates quantity by expression	transcriptional regulation
16410	HIF1A	NT5E	up-regulates quantity by expression	transcriptional regulation
16411	HIF1A	PGK1	up-regulates quantity by expression	transcriptional regulation
16412	HIF1A	STC2	up-regulates quantity by expression	transcriptional regulation
16413	HIF1A	VEGFA	up-regulates quantity	transcriptional regulation
16403	HIF1A	CD274	up-regulates quantity by expression	transcriptional activation
16414	HIF3A	EPAS1	down-regulates quantity by repression	transcriptional regulation
16415	HIF3A	HIF1A	down-regulates quantity by repression	transcriptional regulation
16435	HIVEP2	SSTR2	up-regulates quantity by expression	transcriptional regulation
16447	HLX	MYC	down-regulates quantity by repression	transcriptional regulation
16446	HLX	JUN	up-regulates quantity by expression	transcriptional regulation
16445	HLX	ELK1	up-regulates quantity by expression	transcriptional regulation
16444	HLX	EGR1	down-regulates quantity by repression	transcriptional regulation
16443	HLX	CDKN1C	up-regulates quantity by expression	transcriptional regulation
16442	HLX	CCNB1	up-regulates quantity by expression	transcriptional regulation
16448	HMBOX1	IFNG	down-regulates quantity by repression	transcriptional regulation
16451	HMGA1	SLC2A3	up-regulates quantity by expression	transcriptional regulation
16449	HMGA1	KITLG	up-regulates quantity by expression	transcriptional regulation
16455	HMGA2	SCNN1A	down-regulates quantity by repression	transcriptional regulation
16453	HMGA2	CCNA2	up-regulates quantity by expression	transcriptional regulation
16476	HNF1A	AFP	up-regulates quantity by expression	transcriptional regulation
16479	HNF1A	AKR1C4	up-regulates quantity by expression	transcriptional regulation
16480	HNF1A	ALDOB	up-regulates quantity by expression	transcriptional regulation
16481	HNF1A	CDH17	up-regulates quantity by expression	transcriptional regulation
16482	HNF1A	IGF1	up-regulates quantity by expression	transcriptional regulation
16483	HNF1A	UGT1A10	up-regulates quantity by expression	transcriptional regulation
16484	HNF1A	UGT1A1	up-regulates quantity by expression	transcriptional regulation
16485	HNF1A	UGT1A8	up-regulates quantity by expression	transcriptional regulation
4028	HNF1A	UGT1A9	up-regulates quantity by expression	transcriptional regulation
14326	HNF1B	UMOD	up-regulates quantity by expression	transcriptional regulation
16490	HNF1B	FXYD2	up-regulates quantity by expression	transcriptional regulation
16486	HNF1B	AKR1C4	up-regulates quantity by expression	transcriptional regulation
4029	HNF1B	AFP	up-regulates quantity by expression	transcriptional regulation
4030	HNF1B	ALB	up-regulates quantity by expression	transcriptional regulation
16505	HNF4A	PCSK9	up-regulates quantity by expression	transcriptional regulation
16504	HNF4A	PCK1	up-regulates quantity by expression	transcriptional regulation
16502	HNF4A	NPC1L1	up-regulates quantity by expression	transcriptional regulation
16501	HNF4A	GFER	down-regulates quantity by repression	transcriptional regulation
16500	HNF4A	G6PC	up-regulates quantity by expression	transcriptional regulation
16494	HNF4A	AKR1C4	up-regulates quantity by expression	transcriptional regulation
16495	HNF4A	C1QTNF5	up-regulates quantity by expression	transcriptional regulation
16496	HNF4A	CYP27A1	up-regulates quantity by expression	transcriptional regulation
16497	HNF4A	F12	down-regulates quantity by repression	transcriptional regulation
16493	HNF4A	AFP	up-regulates quantity by expression	transcriptional regulation
16492	HNF4A	ABCG8	down-regulates quantity by repression	transcriptional regulation
16491	HNF4A	ABCG5	down-regulates quantity by repression	transcriptional regulation
4031	HNF4A	GK	up-regulates quantity by expression	transcriptional regulation
4032	HNF4A	LDLR	up-regulates quantity by expression	transcriptional regulation
16508	HNF4G	HAS2	up-regulates quantity by expression	transcriptional regulation
16507	HNF4G	AKR1C4	up-regulates quantity by expression	transcriptional regulation
16506	HNF4G	AFP	up-regulates quantity by expression	transcriptional regulation
4034	HOXA10	MEF2C	down-regulates quantity by repression	transcriptional regulation
4035	HOXA10	MYCN	up-regulates quantity by expression	transcriptional regulation
16529	HOXA10	MYLK	up-regulates quantity by expression	transcriptional regulation
16530	HOXA10	PHGDH	down-regulates quantity by repression	transcriptional regulation
16527	HOXA10	EMX2	up-regulates quantity by expression	transcriptional regulation
16528	HOXA10	IGFBP1	down-regulates quantity by repression	transcriptional regulation
16531	HOXA11	HOXA10	down-regulates quantity by repression	transcriptional regulation
14327	HOXA11	PRL	up-regulates quantity by expression	transcriptional regulation
16532	HOXA13	EPHA7	up-regulates quantity by expression	transcriptional regulation
16534	HOXA7	IVL	down-regulates quantity by repression	transcriptional regulation
16536	HOXA7	TGM1	down-regulates quantity by repression	transcriptional regulation
16535	HOXA7	KRT10	down-regulates quantity by repression	transcriptional regulation
16541	HOXA9	MSI2	up-regulates quantity by expression	transcriptional regulation
16543	HOXA9	PIM1	up-regulates quantity by expression	transcriptional regulation
16542	HOXA9	MYCN	up-regulates quantity by expression	transcriptional regulation
16539	HOXA9	MEF2C	down-regulates quantity by repression	transcriptional regulation
16538	HOXA9	IGF1	up-regulates quantity by expression	transcriptional regulation
16546	HOXB1	OTX2	up-regulates quantity by expression	transcriptional regulation
16545	HOXB13	TCF4	down-regulates quantity by repression	transcriptional regulation
16544	HOXB13	AR	down-regulates quantity by repression	transcriptional regulation
16547	HOXB2	OTX2	up-regulates quantity by expression	transcriptional regulation
16548	HOXB3	OTX2	up-regulates quantity by expression	transcriptional regulation
16549	HOXB4	IGFBP1	up-regulates quantity by expression	transcriptional regulation
16550	HOXB6	HBG1	down-regulates quantity by repression	transcriptional regulation
12969	HOXB6	HBA1	down-regulates quantity by repression	transcriptional regulation
16551	HOXB7	FGF2	up-regulates quantity by expression	transcriptional regulation
16554	HOXB8	MYLK	down-regulates quantity by repression	transcriptional regulation
16553	HOXB8	ACTA2	down-regulates quantity by repression	transcriptional regulation
16557	HOXB8	TAGLN	down-regulates quantity by repression	transcriptional regulation
16558	HOXC10	LAMB2	up-regulates quantity by expression	transcriptional regulation
16559	HOXC11	S100B	up-regulates quantity by expression	transcriptional regulation
16560	HOXC13	DSG4	down-regulates quantity by repression	transcriptional regulation
16561	HOXC13	LAMB2	up-regulates quantity by expression	transcriptional regulation
4037	HOXC13	FOXN1	up-regulates quantity by expression	transcriptional regulation
16562	HOXC6	S100B	up-regulates quantity by expression	transcriptional regulation
16574	HOXD1	ITGB1	up-regulates quantity by expression	transcriptional regulation
16572	HOXD13	EPHA7	up-regulates quantity by expression	transcriptional regulation
16575	HOXD3	A5/b1 integrin	up-regulates quantity by expression	transcriptional regulation
16576	HOXD3	ITGA5	up-regulates quantity by expression	transcriptional regulation
16620	HSF1	HSPA6	up-regulates quantity by expression	transcriptional regulation
4047	HSF2	HSPA6	up-regulates quantity by expression	transcriptional regulation
4048	HSF4	DNASE2B	up-regulates quantity by expression	transcriptional regulation
16959	IKZF1	LNPEP	up-regulates quantity by expression	transcriptional regulation
16961	IKZF2	LNPEP	up-regulates quantity by expression	transcriptional regulation
16963	IKZF3	LNPEP	up-regulates quantity by expression	transcriptional regulation
16964	IKZF4	LNPEP	up-regulates quantity by expression	transcriptional regulation
16965	IKZF5	LNPEP	up-regulates quantity by expression	transcriptional regulation
17288	IRF1	DST	down-regulates quantity by repression	transcriptional regulation
17290	IRF1	SOCS1	up-regulates quantity by expression	transcriptional regulation
17291	IRF1	SOCS2	up-regulates quantity by expression	transcriptional regulation
17294	IRF2	DST	down-regulates quantity by repression	transcriptional regulation
17295	IRF2	TAP1	up-regulates quantity by expression	transcriptional regulation
17296	IRF3	IL6	up-regulates quantity by expression	transcriptional regulation
4156	IRF3	IFNB1	up-regulates quantity by expression	transcriptional regulation
4155	IRF3	ABCC2	up-regulates quantity by expression	transcriptional regulation
17298	IRF3	Interferon-type-I	up-regulates quantity by expression	transcriptional activation
17299	IRF3	SOCS2	up-regulates quantity by expression	transcriptional regulation
17300	IRF4	CD68	down-regulates quantity by repression	transcriptional regulation
17302	IRF4	IL4	up-regulates quantity by expression	transcriptional regulation
17301	IRF4	FCER2	up-regulates quantity by expression	transcriptional regulation
17306	IRF5	IL10	down-regulates quantity by repression	transcriptional regulation
17307	IRF5	IL10	down-regulates	transcriptional regulation
17310	IRF5	TNF	up-regulates quantity by expression	transcriptional activation
14352	IRF5	IL1B	up-regulates	transcriptional regulation
17311	IRF7	IFNA1	up-regulates quantity by expression	transcriptional regulation
13570	IRF7	Interferon-type-I	up-regulates quantity by expression	transcriptional regulation
17312	IRF8	CD68	down-regulates quantity by repression	transcriptional regulation
4159	IRF8	CYBB	up-regulates quantity by expression	transcriptional regulation
4160	IRF8	NCF2	up-regulates quantity by expression	transcriptional regulation
14353	IRX1	PTGS2	up-regulates quantity by expression	transcriptional regulation
17348	IRX1	PTGER1	down-regulates quantity by repression	transcriptional regulation
17351	IRX1	UGT8	up-regulates quantity by expression	transcriptional regulation
17350	IRX1	SPON1	up-regulates quantity by expression	transcriptional regulation
17349	IRX1	RALGPS1	up-regulates quantity by expression	transcriptional regulation
17347	IRX1	PHYHIPL	down-regulates quantity by repression	transcriptional regulation
17346	IRX1	NPTX1	down-regulates quantity by repression	transcriptional regulation
17345	IRX1	KDR	up-regulates quantity by expression	transcriptional regulation
17336	IRX1	BPI	down-regulates quantity by repression	transcriptional regulation
17335	IRX1	BDKRB2	down-regulates quantity by repression	transcriptional regulation
17334	IRX1	ANPEP	up-regulates quantity by expression	transcriptional regulation
17339	IRX1	DKK3	down-regulates quantity by repression	transcriptional regulation
17337	IRX1	CELF2	down-regulates quantity by repression	transcriptional regulation
17340	IRX1	EGR1	down-regulates quantity by repression	transcriptional regulation
17341	IRX1	ERMAP	up-regulates quantity by expression	transcriptional regulation
17342	IRX1	FGF7	down-regulates quantity by repression	transcriptional regulation
17343	IRX1	H2BC21	down-regulates quantity by repression	transcriptional regulation
17344	IRX1	INHBA	up-regulates quantity by expression	transcriptional regulation
17338	IRX1	COL9A3	down-regulates quantity by repression	transcriptional regulation
4211	JUN	RCAN1	up-regulates quantity by expression	transcriptional regulation
17649	JUN	STAR	up-regulates quantity by expression	transcriptional regulation
17651	JUN	TGFB1	up-regulates quantity by expression	transcriptional regulation
17644	JUN	SERPINA3	up-regulates quantity by expression	transcriptional regulation
17637	JUN	HSD3B2	up-regulates quantity by expression	transcriptional regulation
17641	JUN	MMP13	up-regulates quantity by expression	transcriptional regulation
17625	JUN	ABCB1	up-regulates quantity by expression	transcriptional regulation
17635	JUN	GCH1	up-regulates quantity by expression	transcriptional regulation
17636	JUN	GOT1	up-regulates quantity by expression	transcriptional regulation
17634	JUN	FOSL1	up-regulates quantity by expression	transcriptional regulation
17638	JUN	KRT16	up-regulates quantity by expression	transcriptional regulation
17639	JUN	LORICRIN	up-regulates quantity by expression	transcriptional regulation
17640	JUN	miR-155	up-regulates quantity by expression	transcriptional regulation
17631	JUN	CFI	up-regulates quantity by expression	transcriptional regulation
17633	JUN	DDIT3	up-regulates quantity by expression	transcriptional regulation
17632	JUN	CYP19A1	up-regulates quantity by expression	transcriptional regulation
17623	JUNB	LORICRIN	down-regulates quantity by repression	transcriptional regulation
17622	JUNB	IL4	up-regulates quantity by expression	transcriptional regulation
17624	JUND	FOSL1	up-regulates quantity by expression	transcriptional regulation
17693	KCNIP3	PDYN	down-regulates quantity by repression	transcriptional regulation
4218	KDM2B	CDK1	down-regulates quantity by repression	transcriptional regulation
4220	KDM2B	PPARG	down-regulates quantity by repression	transcriptional regulation
17705	KDM2B	UHRF1	down-regulates quantity by repression	transcriptional regulation
17818	KLF1	HBB	up-regulates quantity by expression	transcriptional regulation
4234	KLF10	TGFBI	up-regulates quantity by expression	transcriptional regulation
17807	KLF11	HBG1	up-regulates quantity by expression	transcriptional regulation
17808	KLF11	HBG2	up-regulates quantity by expression	transcriptional regulation
4235	KLF11	HBE1	up-regulates quantity by expression	transcriptional regulation
17812	KLF15	PPARG	up-regulates quantity by expression	transcriptional regulation
17813	KLF15	RBP3	down-regulates quantity by repression	transcriptional regulation
17814	KLF15	RHO	down-regulates quantity by repression	transcriptional regulation
17811	KLF15	Adipogenesis	up-regulates	transcriptional regulation
4236	KLF2	THBD	up-regulates quantity by expression	transcriptional regulation
17819	KLF2	HBE1	up-regulates quantity by expression	transcriptional regulation
17821	KLF2	NPNT	up-regulates quantity by expression	transcriptional regulation
17820	KLF2	mir-143	up-regulates quantity	transcriptional regulation
17823	KLF2	PPARG	down-regulates	transcriptional regulation
17822	KLF2	PPARG	down-regulates quantity by repression	transcriptional regulation
4237	KLF3	CEBPA	down-regulates quantity by repression	transcriptional regulation
17824	KLF3	CEBPA	down-regulates	transcriptional regulation
17831	KLF4	THBD	up-regulates activity	transcriptional regulation
17832	KLF4	TNF	down-regulates quantity by repression	transcriptional regulation
17828	KLF4	SOD1	down-regulates quantity by repression	transcriptional regulation
17827	KLF4	NPNT	up-regulates quantity by expression	transcriptional regulation
17825	KLF4	HSPA8	up-regulates quantity by expression	transcriptional regulation
17833	KLF5	PPARG	up-regulates	transcriptional regulation
17835	KLF6	DLK1	down-regulates quantity by repression	transcriptional regulation
17836	KLF6	DLK1	down-regulates	transcriptional regulation
17837	KLF7	CDKN1A	up-regulates quantity by expression	transcriptional regulation
4268	LEF1	NCAM1	up-regulates activity	transcriptional regulation
18026	LEF1	CEBPA	up-regulates quantity by expression	transcriptional regulation
18036	LEF1	PITX2	up-regulates quantity by expression	transcriptional regulation
18035	LEF1	OCA2	up-regulates quantity by expression	transcriptional regulation
18034	LEF1	MYF5	up-regulates quantity by expression	transcriptional regulation
18032	LEF1	IL4	down-regulates quantity by repression	transcriptional regulation
18031	LEF1	FST	up-regulates quantity by expression	transcriptional regulation
18030	LEF1	ELANE	up-regulates quantity by expression	transcriptional regulation
18029	LEF1	DSG4	down-regulates quantity by repression	transcriptional regulation
18027	LEF1	CLDN2	up-regulates quantity by expression	transcriptional regulation
18025	LEF1	CCND1	up-regulates quantity by expression	transcriptional activation
18033	LEF1	MYC	up-regulates quantity by expression	transcriptional regulation
18072	LHX3	FSHB	up-regulates quantity by expression	transcriptional regulation
18075	LHX4	POU1F1	up-regulates quantity by expression	transcriptional regulation
18265	LYL1	MEF2C	up-regulates quantity by expression	transcriptional regulation
18263	LYL1	ANGPT2	up-regulates quantity by expression	transcriptional regulation
18264	LYL1	ERG	up-regulates quantity by expression	transcriptional regulation
18326	MAF	MMP13	up-regulates quantity by expression	transcriptional regulation
18325	MAFA	SLC2A2	up-regulates quantity by expression	transcriptional regulation
18324	MAFA	PDX1	up-regulates quantity by expression	transcriptional regulation
18322	MAFA	PC	up-regulates quantity by expression	transcriptional regulation
